"STORM_ID","NAME","DATE","TIME","RECORD_ID","STATUS","LAT","LON","WIND","PRESSURE","YEAR","MONTH","DAY","COUNTRY"
"AL072000","DEBBY","2000-08-22",600,"L","HU",17.5,-61.7,65,993,2000,8,22,"Antigua and Barbuda"
"AL072000","DEBBY","2000-08-22",915,"L","HU",17.9,-62.8,65,993,2000,8,22,"Saint-Barthélemy"
"AL072000","DEBBY","2000-08-22",1500,"L","HU",18.5,-64.4,65,994,2000,8,22,"British Virgin Islands"
"AL092000","UNNAMED","2000-09-09",1000,"L","TD",29.9,-93.9,25,1009,2000,9,9,"United States"
"AL112000","GORDON","2000-09-18",300,"L","TS",29.3,-83.2,55,991,2000,9,18,"United States"
"AL122000","HELENE","2000-09-22",1200,"L","TS",30.5,-86.6,35,1006,2000,9,22,"United States"
"AL152000","KEITH","2000-10-02",2300,"L","HU",17.9,-88,65,988,2000,10,2,"Belize"
"AL152000","KEITH","2000-10-03",300,"L","TS",17.9,-88.2,60,990,2000,10,3,"Belize"
"AL152000","KEITH","2000-10-05",1800,"L","HU",22.6,-97.9,80,980,2000,10,5,"Mexico"
"AL012001","ALLISON","2001-06-05",2100,"L","TS",28.9,-95.3,45,1003,2001,6,5,"United States"
"AL012001","ALLISON","2001-06-11",200,"L","SD",29.6,-91.6,30,1004,2001,6,11,"United States"
"AL032001","BARRY","2001-08-06",500,"L","TS",30.4,-86.3,60,990,2001,8,6,"United States"
"AL042001","CHANTAL","2001-08-21",200,"L","TS",18.1,-87.8,60,999,2001,8,21,"Belize"
"AL082001","GABRIELLE","2001-09-14",1200,"L","TS",27.1,-82.6,60,983,2001,9,14,"United States"
"AL092001","UNNAMED","2001-09-20",0,"L","TD",13.9,-83.5,30,1006,2001,9,20,"Nicaragua"
"AL112001","IRIS","2001-10-09",200,"L","HU",16.3,-88.4,125,948,2001,10,9,"Belize"
"AL132001","KAREN","2001-10-15",1200,"L","TS",44.2,-64.8,40,998,2001,10,15,"Canada"
"AL152001","MICHELLE","2001-11-04",1800,"L","HU",21.5,-81.8,120,949,2001,11,4,"Cuba"
"AL152001","MICHELLE","2001-11-04",2300,"L","HU",22.1,-81.2,115,950,2001,11,4,"Cuba"
"AL152001","MICHELLE","2001-11-05",1200,"L","HU",24.3,-78,80,974,2001,11,5,"Bahamas"
"AL152001","MICHELLE","2001-11-05",1800,"L","HU",25.4,-76.4,75,980,2001,11,5,"Bahamas"
"AL022002","BERTHA","2002-08-05",200,"L","TS",29.4,-89.3,35,1008,2002,8,5,"United States"
"AL022002","BERTHA","2002-08-09",800,"L","TD",27.3,-97.4,20,1011,2002,8,9,"United States"
"AL052002","EDOUARD","2002-09-05",45,"L","TS",29.4,-81.1,35,1009,2002,9,5,"United States"
"AL062002","FAY","2002-09-07",900,"L","TS",28.5,-96.3,50,999,2002,9,7,"United States"
"AL082002","GUSTAV","2002-09-12",430,"L","HU",45.6,-60.4,80,960,2002,9,12,"Canada"
"AL082002","GUSTAV","2002-09-12",900,"L","HU",47.6,-58.6,65,963,2002,9,12,"Canada"
"AL092002","HANNA","2002-09-14",800,"L","TS",29.1,-89.1,50,1003,2002,9,14,"United States"
"AL092002","HANNA","2002-09-14",1500,"L","TS",30.4,-88.4,50,1002,2002,9,14,"United States"
"AL102002","ISIDORE","2002-09-20",2100,"L","HU",22,-84.1,75,964,2002,9,20,"Cuba"
"AL102002","ISIDORE","2002-09-22",2100,"L","HU",21.3,-89.3,110,936,2002,9,22,"Mexico"
"AL102002","ISIDORE","2002-09-26",600,"L","TS",29.1,-90.3,55,984,2002,9,26,"United States"
"AL122002","KYLE","2002-10-11",1700,"L","TS",33,-79.5,35,1011,2002,10,11,"United States"
"AL122002","KYLE","2002-10-11",2200,"L","TS",33.9,-78.4,35,1011,2002,10,11,"United States"
"AL132002","LILI","2002-09-30",1400,"L","HU",19.7,-79.8,65,986,2002,9,30,"Cayman Islands"
"AL132002","LILI","2002-10-01",1100,"L","HU",21.3,-83,90,971,2002,10,1,"Cuba"
"AL132002","LILI","2002-10-01",1400,"L","HU",22.1,-84,90,971,2002,10,1,"Cuba"
"AL132002","LILI","2002-10-03",1300,"L","HU",29.5,-92.2,80,963,2002,10,3,"United States"
"AL142002","UNNAMED","2002-10-16",1600,"L","TD",22,-80.7,25,1006,2002,10,16,"Cuba"
"AL032003","BILL","2003-06-30",1900,"L","TS",29.3,-91,50,997,2003,6,30,"United States"
"AL042003","CLAUDETTE","2003-07-11",1000,"L","TS",20.8,-86.9,50,1009,2003,7,11,"Mexico"
"AL042003","CLAUDETTE","2003-07-15",1530,"L","HU",28.3,-96.2,80,979,2003,7,15,"United States"
"AL072003","UNNAMED","2003-07-26",600,"L","TD",31.5,-81.3,25,1018,2003,7,26,"United States"
"AL082003","ERIKA","2003-08-16",1030,"L","HU",25.3,-97.4,65,986,2003,8,16,"Mexico"
"AL112003","GRACE","2003-08-31",1100,"L","TS",29,-95.1,35,1007,2003,8,31,"United States"
"AL122003","HENRI","2003-09-06",900,"L","TD",27.9,-82.8,30,1006,2003,9,6,"United States"
"AL132003","ISABEL","2003-09-18",1700,"L","HU",34.9,-76.2,90,957,2003,9,18,"United States"
"AL152003","JUAN","2003-09-29",300,"L","HU",44.4,-63.8,85,973,2003,9,29,"Canada"
"AL172003","LARRY","2003-10-05",1000,"L","TS",18.4,-93.5,50,996,2003,10,5,"Mexico"
"AL202003","ODETTE","2003-12-06",2300,"L","TS",17.8,-71.5,50,995,2003,12,6,"Dominican Republic"
"AL022004","BONNIE","2004-08-12",1400,"L","TS",29.6,-85.1,40,1002,2004,8,12,"United States"
"AL032004","CHARLEY","2004-08-13",430,"L","HU",22.7,-82.6,105,966,2004,8,13,"Cuba"
"AL032004","CHARLEY","2004-08-13",1945,"L","HU",26.6,-82.2,130,941,2004,8,13,"United States"
"AL032004","CHARLEY","2004-08-13",2045,"L","HU",26.9,-82.1,125,942,2004,8,13,"United States"
"AL032004","CHARLEY","2004-08-14",1400,"L","HU",33,-79.4,70,992,2004,8,14,"United States"
"AL032004","CHARLEY","2004-08-14",1600,"L","HU",33.8,-78.7,65,997,2004,8,14,"United States"
"AL062004","FRANCES","2004-09-02",1930,"L","HU",24,-74.5,110,948,2004,9,2,"Bahamas"
"AL062004","FRANCES","2004-09-03",530,"L","HU",24.6,-75.6,100,954,2004,9,3,"Bahamas"
"AL062004","FRANCES","2004-09-03",1000,"L","HU",25.1,-76.1,95,956,2004,9,3,"Bahamas"
"AL062004","FRANCES","2004-09-04",1000,"L","HU",26.6,-78.2,90,961,2004,9,4,"Bahamas"
"AL062004","FRANCES","2004-09-05",430,"L","HU",27.2,-80.2,90,960,2004,9,5,"United States"
"AL062004","FRANCES","2004-09-06",1800,"L","TS",30.1,-84,50,982,2004,9,6,"United States"
"AL072004","GASTON","2004-08-29",1400,"L","HU",33,-79.6,65,985,2004,8,29,"United States"
"AL082004","HERMINE","2004-08-31",600,"L","TS",41.5,-70.9,35,1012,2004,8,31,"United States"
"AL092004","IVAN","2004-09-16",650,"L","HU",30.2,-87.9,105,946,2004,9,16,"United States"
"AL092004","IVAN","2004-09-24",200,"L","TD",29.8,-93.6,30,1004,2004,9,24,"United States"
"AL112004","JEANNE","2004-09-14",400,"L","TD",16.2,-61.3,30,1009,2004,9,14,"France"
"AL112004","JEANNE","2004-09-15",1600,"L","TS",18,-66,60,991,2004,9,15,"Puerto Rico"
"AL112004","JEANNE","2004-09-16",1100,"L","HU",18.6,-68.3,70,985,2004,9,16,"Dominican Republic"
"AL112004","JEANNE","2004-09-25",1400,"L","HU",26.7,-77.3,100,956,2004,9,25,"Bahamas"
"AL112004","JEANNE","2004-09-26",400,"L","HU",27.2,-80.2,105,950,2004,9,26,"United States"
"AL142004","MATTHEW","2004-10-10",1100,"L","TS",29.2,-91,35,999,2004,10,10,"United States"
"AL012005","ARLENE","2005-06-10",800,"L","TS",21.8,-84.5,45,1000,2005,6,10,"Cuba"
"AL012005","ARLENE","2005-06-11",1900,"L","TS",30.3,-87.5,50,991,2005,6,11,"United States"
"AL022005","BRET","2005-06-29",1200,"L","TS",20.8,-97.3,35,1005,2005,6,29,"Mexico"
"AL032005","CINDY","2005-07-04",330,"L","TD",19,-87.6,30,1007,2005,7,4,"Mexico"
"AL032005","CINDY","2005-07-06",300,"L","HU",29.2,-90.1,65,991,2005,7,6,"United States"
"AL032005","CINDY","2005-07-06",900,"L","TS",30.2,-89.5,45,995,2005,7,6,"United States"
"AL042005","DENNIS","2005-07-04",2100,"L","TD",12.1,-61.6,30,1010,2005,7,4,"Grenada"
"AL042005","DENNIS","2005-07-08",245,"L","HU",19.9,-77.6,120,956,2005,7,8,"Cuba"
"AL042005","DENNIS","2005-07-08",1845,"L","HU",22.1,-80.7,120,941,2005,7,8,"Cuba"
"AL042005","DENNIS","2005-07-10",1930,"L","HU",30.4,-87.1,105,946,2005,7,10,"United States"
"AL052005","EMILY","2005-07-14",700,"L","HU",12,-61.8,75,989,2005,7,14,"Grenada"
"AL052005","EMILY","2005-07-18",630,"L","HU",20.3,-87.4,115,955,2005,7,18,"Mexico"
"AL052005","EMILY","2005-07-20",1200,"L","HU",24.8,-97.6,110,944,2005,7,20,"Mexico"
"AL072005","GERT","2005-07-25",0,"L","TS",21.8,-97.6,40,1005,2005,7,25,"Mexico"
"AL112005","JOSE","2005-08-23",330,"L","TS",19.7,-96.4,50,998,2005,8,23,"Mexico"
"AL122005","KATRINA","2005-08-25",2230,"L","HU",26,-80.1,70,984,2005,8,25,"United States"
"AL122005","KATRINA","2005-08-29",1110,"L","HU",29.3,-89.6,110,920,2005,8,29,"United States"
"AL122005","KATRINA","2005-08-29",1445,"L","HU",30.2,-89.6,105,928,2005,8,29,"United States"
"AL162005","OPHELIA","2005-09-06",1600,"L","TD",26.6,-78.3,25,1010,2005,9,6,"Bahamas"
"AL182005","RITA","2005-09-24",740,"L","HU",29.7,-93.7,100,937,2005,9,24,"United States"
"AL202005","STAN","2005-10-02",1000,"L","TS",19.6,-87.5,35,1003,2005,10,2,"Mexico"
"AL202005","STAN","2005-10-04",1200,"L","HU",18.6,-94.9,70,977,2005,10,4,"Mexico"
"AL222005","TAMMY","2005-10-05",2300,"L","TS",30.4,-81.4,45,1002,2005,10,5,"United States"
"AL242005","VINCE","2005-10-11",900,"L","TD",37.2,-7.1,30,1002,2005,10,11,"Spain"
"AL252005","WILMA","2005-10-21",2145,"L","HU",20.6,-86.8,130,927,2005,10,21,"Mexico"
"AL252005","WILMA","2005-10-22",330,"L","HU",20.8,-86.9,115,933,2005,10,22,"Mexico"
"AL252005","WILMA","2005-10-24",1030,"L","HU",25.9,-81.7,105,950,2005,10,24,"United States"
"AL262005","ALPHA","2005-10-23",1000,"L","TS",18.3,-71.3,45,1000,2005,10,23,"Dominican Republic"
"AL272005","BETA","2005-10-30",1200,"L","HU",12.9,-83.5,90,970,2005,10,30,"Nicaragua"
"AL012006","ALBERTO","2006-06-13",1630,"L","TS",29.9,-83.7,40,998,2006,6,13,"United States"
"AL032006","BERYL","2006-07-21",645,"L","TS",41.3,-70.1,45,1000,2006,7,21,"United States"
"AL062006","ERNESTO","2006-08-28",1115,"L","TS",19.9,-75.5,35,1005,2006,8,28,"Cuba"
"AL062006","ERNESTO","2006-08-30",300,"L","TS",24.9,-80.6,40,1003,2006,8,30,"United States"
"AL062006","ERNESTO","2006-08-30",500,"L","TS",25.2,-80.7,40,1003,2006,8,30,"United States"
"AL062006","ERNESTO","2006-09-01",340,"L","TS",33.9,-78.1,60,985,2006,9,1,"United States"
"AL022007","BARRY","2007-06-02",1400,"L","TD",27.5,-82.7,30,1000,2007,6,2,"United States"
"AL042007","DEAN","2007-08-21",830,"L","HU",18.7,-87.7,150,905,2007,8,21,"Mexico"
"AL042007","DEAN","2007-08-22",1630,"L","HU",20.5,-97,85,974,2007,8,22,"Mexico"
"AL052007","ERIN","2007-08-16",1030,"L","TD",28,-96.9,30,1006,2007,8,16,"United States"
"AL062007","FELIX","2007-09-01",845,"L","TS",12.1,-61.7,45,1001,2007,9,1,"Grenada"
"AL062007","FELIX","2007-09-04",1200,"L","HU",14.3,-83.2,140,934,2007,9,4,"Nicaragua"
"AL072007","GABRIELLE","2007-09-09",1530,"L","TS",34.8,-76.4,50,1005,2007,9,9,"United States"
"AL092007","HUMBERTO","2007-09-13",700,"L","HU",29.6,-94.3,80,985,2007,9,13,"United States"
"AL102007","TEN","2007-09-22",0,"L","TD",30.4,-86.7,25,1006,2007,9,22,"United States"
"AL132007","LORENZO","2007-09-28",500,"L","HU",20.5,-97,65,993,2007,9,28,"Mexico"
"AL162007","NOEL","2007-10-29",700,"L","TS",18.1,-72.5,45,1002,2007,10,29,"Haiti"
"AL162007","NOEL","2007-10-30",600,"L","TS",21.1,-75.8,50,997,2007,10,30,"Cuba"
"AL162007","NOEL","2007-11-01",1315,"L","TS",24.1,-77.9,50,993,2007,11,1,"Bahamas"
"AL162007","NOEL","2007-11-01",1745,"L","TS",25,-77.4,55,992,2007,11,1,"Bahamas"
"AL172007","OLGA","2007-12-11",700,"L","SS",18.4,-66.5,40,1005,2007,12,11,"Puerto Rico"
"AL172007","OLGA","2007-12-11",1800,"L","TS",18.5,-68.4,50,1003,2007,12,11,"Dominican Republic"
"AL012008","ARTHUR","2008-05-31",900,"L","TS",17.9,-88.2,40,1004,2008,5,31,"Belize"
"AL042008","DOLLY","2008-07-21",530,"L","TS",20.8,-87,45,1007,2008,7,21,"Mexico"
"AL042008","DOLLY","2008-07-23",1820,"L","HU",26.4,-97.2,75,967,2008,7,23,"United States"
"AL042008","DOLLY","2008-07-23",2000,"L","HU",26.4,-97.4,70,967,2008,7,23,"United States"
"AL052008","EDOUARD","2008-08-05",1200,"L","TS",29.6,-94.2,55,996,2008,8,5,"United States"
"AL062008","FAY","2008-08-15",1430,"L","TS",18.5,-68.4,35,1009,2008,8,15,"Dominican Republic"
"AL062008","FAY","2008-08-16",1145,"L","TS",18.8,-72.8,40,1007,2008,8,16,"Haiti"
"AL062008","FAY","2008-08-17",900,"L","TS",19.9,-77.4,45,1003,2008,8,17,"Cuba"
"AL062008","FAY","2008-08-18",700,"L","TS",22.1,-80.8,45,1003,2008,8,18,"Cuba"
"AL062008","FAY","2008-08-18",2030,"L","TS",24.5,-81.8,50,998,2008,8,18,"United States"
"AL062008","FAY","2008-08-19",845,"L","TS",25.9,-81.6,55,991,2008,8,19,"United States"
"AL062008","FAY","2008-08-21",1900,"L","TS",29.3,-81.1,55,993,2008,8,21,"United States"
"AL062008","FAY","2008-08-23",615,"L","TS",29.8,-84.7,45,997,2008,8,23,"United States"
"AL072008","GUSTAV","2008-08-26",1800,"L","HU",18.1,-72.8,70,992,2008,8,26,"Haiti"
"AL072008","GUSTAV","2008-08-28",1800,"L","TS",18,-76.2,60,984,2008,8,28,"Jamaica"
"AL072008","GUSTAV","2008-08-29",200,"L","TS",17.9,-77.2,60,987,2008,8,29,"Jamaica"
"AL072008","GUSTAV","2008-08-30",1800,"L","HU",21.6,-82.5,125,943,2008,8,30,"Cuba"
"AL072008","GUSTAV","2008-08-30",2200,"L","HU",22.4,-83.1,135,941,2008,8,30,"Cuba"
"AL072008","GUSTAV","2008-09-01",1500,"L","HU",29.2,-90.7,90,954,2008,9,1,"United States"
"AL082008","HANNA","2008-09-02",0,"L","HU",21.8,-72.3,75,977,2008,9,2,"Turks and Caicos Islands"
"AL082008","HANNA","2008-09-03",1900,"L","TS",21.7,-71.8,50,994,2008,9,3,"Turks and Caicos Islands"
"AL082008","HANNA","2008-09-06",700,"L","TS",33.8,-78.7,60,981,2008,9,6,"United States"
"AL092008","IKE","2008-09-07",1300,"L","HU",21,-73.2,110,947,2008,9,7,"Bahamas"
"AL092008","IKE","2008-09-08",200,"L","HU",21.1,-75.7,115,945,2008,9,8,"Cuba"
"AL092008","IKE","2008-09-09",1400,"L","HU",22.6,-82.9,70,965,2008,9,9,"Cuba"
"AL092008","IKE","2008-09-13",700,"L","HU",29.3,-94.7,95,950,2008,9,13,"United States"
"AL112008","KYLE","2008-09-29",0,"L","HU",43.8,-66.2,65,985,2008,9,29,"Canada"
"AL132008","MARCO","2008-10-07",1200,"L","TS",19.9,-96.5,55,998,2008,10,7,"Mexico"
"AL162008","SIXTEEN","2008-10-15",1230,"L","TD",15.9,-84.5,25,1005,2008,10,15,"Honduras"
"AL172008","PALOMA","2008-11-09",100,"L","HU",20.7,-78,85,970,2008,11,9,"Cuba"
"AL032009","BILL","2009-08-24",300,"L","TS",46.9,-56,60,976,2009,8,24,"Canada"
"AL042009","CLAUDETTE","2009-08-17",530,"L","TS",30.4,-86.5,40,1005,2009,8,17,"United States"
"AL062009","ERIKA","2009-09-02",1830,"L","TS",16.3,-61.3,35,1008,2009,9,2,"France"
"AL112009","IDA","2009-11-05",1200,"L","HU",12.9,-83.6,70,985,2009,11,5,"Nicaragua"
"AL012010","ALEX","2010-06-27",0,"L","TS",17.5,-88.2,55,995,2010,6,27,"Belize"
"AL012010","ALEX","2010-07-01",200,"L","HU",24.2,-97.7,95,946,2010,7,1,"Mexico"
"AL022010","TWO","2010-07-08",1400,"L","TD",26.1,-97.1,30,1006,2010,7,8,"United States"
"AL032010","BONNIE","2010-07-22",2315,"L","TS",23,-75.7,35,1006,2010,7,22,"Bahamas"
"AL032010","BONNIE","2010-07-23",515,"L","TS",23.7,-77.5,40,1005,2010,7,23,"Bahamas"
"AL032010","BONNIE","2010-07-23",1430,"L","TS",25.4,-80.2,35,1007,2010,7,23,"United States"
"AL072010","EARL","2010-09-04",1500,"L","HU",44.3,-64.5,65,962,2010,9,4,"Canada"
"AL072010","EARL","2010-09-04",1900,"L","TS",46,-62.7,60,967,2010,9,4,"Canada"
